folder,pdf_id,ref_link,pdf_url
108,998,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/998,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/998/filename/folder_0108.pdf/mapsto/pdf/type/singleitem/folder_0108.pdf
109,991,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/991,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/991/filename/folder_0109.pdf/mapsto/pdf/type/singleitem/folder_0109.pdf
110,919,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/919,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/919/filename/folder_0110.pdf/mapsto/pdf/type/singleitem/folder_0110.pdf
111,966,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/966,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/966/filename/folder_0111.pdf/mapsto/pdf/type/singleitem/folder_0111.pdf
112,935,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/935,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/935/filename/folder_0112.pdf/mapsto/pdf/type/singleitem/folder_0112.pdf
113,663,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/663,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/663/filename/folder_0113.pdf/mapsto/pdf/type/singleitem/folder_0113.pdf
114,985,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/985,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/985/filename/folder_0114.pdf/mapsto/pdf/type/singleitem/folder_0114.pdf
115,953,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/953,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/953/filename/folder_0115.pdf/mapsto/pdf/type/singleitem/folder_0115.pdf
116,661,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/661,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/661/filename/folder_0116.pdf/mapsto/pdf/type/singleitem/folder_0116.pdf
117,1013,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1013,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1013/filename/folder_0117.pdf/mapsto/pdf/type/singleitem/folder_0117.pdf
118,943,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/943,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/943/filename/folder_0118.pdf/mapsto/pdf/type/singleitem/folder_0118.pdf
119,978,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/978,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/978/filename/folder_0119.pdf/mapsto/pdf/type/singleitem/folder_0119.pdf
120,1019,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1019,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1019/filename/folder_0120.pdf/mapsto/pdf/type/singleitem/folder_0120.pdf
121,913,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/913,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/913/filename/folder_0121.pdf/mapsto/pdf/type/singleitem/folder_0121.pdf
122,954,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/954,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/954/filename/folder_0122.pdf/mapsto/pdf/type/singleitem/folder_0122.pdf
123,926,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/926,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/926/filename/folder_0123.pdf/mapsto/pdf/type/singleitem/folder_0123.pdf
124,977,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/977,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/977/filename/folder_0124.pdf/mapsto/pdf/type/singleitem/folder_0124.pdf
125,899,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/899,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/899/filename/folder_0125.pdf/mapsto/pdf/type/singleitem/folder_0125.pdf
126,664,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/664,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/664/filename/folder_0126.pdf/mapsto/pdf/type/singleitem/folder_0126.pdf
127,894,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/894,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/894/filename/folder_0127.pdf/mapsto/pdf/type/singleitem/folder_0127.pdf
